License,Breed,Color,DogName,OwnerZip,Gender,Intact,Age,Weight
3647543,COCKAPOO,BROWN,CHARLEY,15236,Male,False,94,35
3647545,GER SHEPHERD,WHITE,ELLIE,15238,Female,False,67,76
3647546,MALTESE,WHITE,FURBY,15243,Male,False,44,4
3647547,MALTESE,WHITE,GIZMO,15243,Male,False,25,4
3647551,AM PIT BULL TERRIER,BLACK,JED WAYNE,15229,Male,False,18,65
3647552,AM STAFF TERRIER,WHITE/BLACK,SAMSON,15229,Male,False,92,60
3647553,AM STAFF TERRIER,WHITE/GREY,OTIS,15229,Male,False,82,67
3647554,LABRADOR RETRIEVER,BLACK,ROSIE,15084,Female,False,39,57
3647555,GER SHEPHERD,SABLE,DELLA STREET,15147,Female,False,134,77
3647557,SHIH TZU,WHITE/YELLOW,MILO,15227,Male,True,74,14
3647558,JACK RUSSEL TERRIER,SPOTTED,CHASE,15202,Male,False,125,11
3647559,LABRADOR RETRIEVER,WHITE/BROWN,GINA,15108,Female,True,105,60
3647560,GER SHEPHERD,BLACK/BROWN,MAX,15235,Male,False,48,98
3647563,AM PIT BULL TERRIER,GREY,BLUE,15017,Male,True,118,75
3647564,SHIH TZU,MULTI,BUFFY,15243,Female,False,132,12
3647566,BEAGLE,WHITE/BROWN,BODHI,15235,Male,False,128,17
3647575,POMERANIAN,BLONDE,LOLA,15239,Female,False,45,4
3647577,GOLDENDOODLE,BROWN,MILO,15090,Male,False,40,82
3647578,DACHSHUND,RED,SADIE,15044,Female,False,122,21
3647579,BOXER,WHITE/BROWN,YAFU,15143,Male,False,128,71
3647580,GOLDENDOODLE,BROWN,MADDIE,15084,Female,True,81,69
3647581,BORD COLLIE,WHITE/BROWN,MAC,15215,Male,True,113,50
3647582,GOLDENDOODLE,BROWN,MADDIE,15084,Female,False,50,75
3647583,SCHNAUZER MIN,WHITE/BLACK,JACK,15101,Male,True,165,15
3647586,AUS CATTLE DOG,OTHER,HUGO TAYLOR,15017,Male,False,22,42
3647588,SCHNAUZER MIN,WHITE/BLACK,FRITZ,15202,Male,False,70,14
3647589,COCKAPOO,GOLD,IZZY,15025,Male,False,43,35
3647590,GOLDENDOODLE,BROWN,TUCKER,15068,Male,True,124,82
3647591,MALTESE,WHITE,LEO,15243,Male,True,155,5
3647592,LABRADOR RETRIEVER,CHOCOLATE,DAISY,15090,Female,False,123,69
3647593,AUS CATTLE DOG,BROWN,LOU,15120,Male,False,29,43
3647595,SHIH TZU,TRI-COLOR,LUCY,15237,Female,False,66,12
3647600,LABRADOR RETRIEVER,BROWN,RYDER,15241,Male,False,55,76
3647604,GOLDENDOODLE,CREAM,WALLIE,15236,Male,False,90,71
