Breed,Color,DogName,OwnerZip,Gender,Intact,Age,Weight,AverageWeight,Category
COCKAPOO,BROWN,CHARLEY,15236,Male,False,94,35,35.861111111111114,Medium
GER SHEPHERD,WHITE,ELLIE,15238,Female,False,67,76,81.36481303930968,Large
MALTESE,WHITE,FURBY,15243,Male,False,44,4,3.9972677595628414,Toy
MALTESE,WHITE,GIZMO,15243,Male,False,25,4,3.9972677595628414,Toy
AM PIT BULL TERRIER,BLACK,JED WAYNE,15229,Male,False,18,65,62.09428223844282,Large
AM STAFF TERRIER,WHITE/BLACK,SAMSON,15229,Male,False,92,60,61.66483516483517,Large
AM STAFF TERRIER,WHITE/GREY,OTIS,15229,Male,False,82,67,61.66483516483517,Large
LABRADOR RETRIEVER,BLACK,ROSIE,15084,Female,False,39,57,71.38216365307999,Large
GER SHEPHERD,SABLE,DELLA STREET,15147,Female,False,134,77,81.36481303930968,Large
SHIH TZU,WHITE/YELLOW,MILO,15227,Male,True,74,14,12.004834810636583,Small
JACK RUSSEL TERRIER,SPOTTED,CHASE,15202,Male,False,125,11,10.99581589958159,Small
LABRADOR RETRIEVER,WHITE/BROWN,GINA,15108,Female,True,105,60,71.38216365307999,Large
GER SHEPHERD,BLACK/BROWN,MAX,15235,Male,False,48,98,81.36481303930968,Large
AM PIT BULL TERRIER,GREY,BLUE,15017,Male,True,118,75,62.09428223844282,Large
SHIH TZU,MULTI,BUFFY,15243,Female,False,132,12,12.004834810636583,Small
BEAGLE,WHITE/BROWN,BODHI,15235,Male,False,128,17,20.472150814053126,Medium
POMERANIAN,BLONDE,LOLA,15239,Female,False,45,4,4.028953229398664,Toy
GOLDENDOODLE,BROWN,MILO,15090,Male,False,40,82,71.67073954983923,Large
DACHSHUND,RED,SADIE,15044,Female,False,122,21,22.387126019945605,Medium
BOXER,WHITE/BROWN,YAFU,15143,Male,False,128,71,71.2519422863485,Large
GOLDENDOODLE,BROWN,MADDIE,15084,Female,True,81,69,71.67073954983923,Large
BORD COLLIE,WHITE/BROWN,MAC,15215,Male,True,113,50,47.652482269503544,Large
GOLDENDOODLE,BROWN,MADDIE,15084,Female,False,50,75,71.67073954983923,Large
SCHNAUZER MIN,WHITE/BLACK,JACK,15101,Male,True,165,15,12.735135135135135,Small
AUS CATTLE DOG,OTHER,HUGO TAYLOR,15017,Male,False,22,42,42.33974358974359,Medium
SCHNAUZER MIN,WHITE/BLACK,FRITZ,15202,Male,False,70,14,12.735135135135135,Small
COCKAPOO,GOLD,IZZY,15025,Male,False,43,35,35.861111111111114,Medium
GOLDENDOODLE,BROWN,TUCKER,15068,Male,True,124,82,71.67073954983923,Large
MALTESE,WHITE,LEO,15243,Male,True,155,5,3.9972677595628414,Toy
LABRADOR RETRIEVER,CHOCOLATE,DAISY,15090,Female,False,123,69,71.38216365307999,Large
AUS CATTLE DOG,BROWN,LOU,15120,Male,False,29,43,42.33974358974359,Medium
SHIH TZU,TRI-COLOR,LUCY,15237,Female,False,66,12,12.004834810636583,Small
LABRADOR RETRIEVER,BROWN,RYDER,15241,Male,False,55,76,71.38216365307999,Large
GOLDENDOODLE,CREAM,WALLIE,15236,Male,False,90,71,71.67073954983923,Large
LABRADOR RETRIEVER,BLACK,TANK,15140,Male,False,138,67,71.38216365307999,Large
LABRADOR RETRIEVER,BROWN,MOOSE,15237,Male,True,107,79,71.38216365307999,Large
POODLE TOY,BROWN,MURPHY,15218,Male,True,18,4,3.995475113122172,Toy
LABRADOR RETRIEVER,BLACK,PEARL,15108,Female,False,106,62,71.38216365307999,Large
CAV KING CHAR SPANI,WHITE/BROWN,BLUE,15146,Male,False,164,13,14.696850393700787,Small
ENG BULLDOG,WHITE/BROWN,HOWIE,15143,Male,False,28,46,42.68345323741007,Medium
GER SHEPHERD,SABLE,KATIE,15209,Female,False,46,79,81.36481303930968,Large
BEAGLE,WHITE/BLACK,DAISY,15234,Male,True,95,20,20.472150814053126,Medium
LABRADOR RETRIEVER,BLACK,BEAUTY,15137,Female,False,52,59,71.38216365307999,Large
LABRADOR RETRIEVER,BLACK,BEAUTY,15137,Female,False,93,60,71.38216365307999,Large
BEAGLE,MULTI,GUS,15237,Male,True,70,18,20.472150814053126,Medium
LABRADOR RETRIEVER,BLACK,WINNIE,15101,Female,False,58,81,71.38216365307999,Large
GOLDEN RETRIEVER,WHITE,GEORGE,15235,Male,False,19,61,64.81926121372031,Large
BICHON FRISE,WHITE,RICHIE,15221,Male,False,23,12,13.739583333333334,Small
SIB HUSKY,GREY,RANGER,15218,Male,False,139,45,52.40229885057471,Large
MORKIE,WHITE,SASSY,15227,Female,False,118,5,5.054421768707483,Toy
BICHON FRISE,WHITE,BARNEY,15205,Male,True,95,14,13.739583333333334,Small
JACK RUSSEL TERRIER,WHITE/BLACK,LADY,15145,Female,False,151,11,10.99581589958159,Small
CHIHUAHUA,BROWN,RICHARD,15136,Male,True,35,5,4.020435069215557,Toy
HAVANESE,SABLE,SACCHI,15146,Male,False,165,11,10.14186046511628,Small
GOLDENDOODLE,BLACK,EMMY,15017,Female,False,34,72,71.67073954983923,Large
GREAT DANE,WHITE/BLACK,LOLA,15044,Female,True,45,159,152.86305732484075,Giant
GOLDEN RETRIEVER,BROWN,SIMBA,15108,Male,False,131,74,64.81926121372031,Large
CHIHUAHUA,WHITE,DAISY,15227,Female,False,70,4,4.020435069215557,Toy
AM PIT BULL TERRIER,RED/BRINDLE,BEAR,15044,Male,True,50,68,62.09428223844282,Large
GER SHEPHERD,BLACK/TAN,MARA,15131,Female,False,27,69,81.36481303930968,Large
CHIHUAHUA,TAN,TT,15102,Female,False,140,3,4.020435069215557,Toy
DACHSHUND,RED,PUMPKIN,15136,Female,False,42,20,22.387126019945605,Medium
ENG SPRINGER SPANIE,WHITE/BLACK,OLIVE,15234,Female,False,71,44,44.726027397260275,Medium
FRENCH BULLDOG,BLUE/TAN,SULLY,15236,Male,True,61,23,20.437100213219615,Medium
GOLDEN RETRIEVER,OTHER,CRICKET,15228,Female,False,32,68,64.81926121372031,Large
BOSTON TERRIER,BLACK WITH WHITE,ROXI,15116,Female,True,20,18,16.468503937007874,Small
HAVANESE,WHITE/BLACK,OREO,15106,Male,False,143,9,10.14186046511628,Small
HAVANESE,TRI-COLOR,COCOA,15106,Male,False,87,12,10.14186046511628,Small
HAVANESE,WHITE/BLACK,PEANUT,15106,Male,False,24,13,10.14186046511628,Small
GOLDEN RETRIEVER,GOLD,FENNY,15065,Male,True,63,77,64.81926121372031,Large
HAVANESE,WHITE/BLACK,MURPHY,15017,Male,True,48,11,10.14186046511628,Small
LABRADOR RETRIEVER,RED,CAMPBELL,15221,Male,False,29,67,71.38216365307999,Large
AM PIT BULL TERRIER,WHITE/BLACK,VEGA,15122,Female,True,64,65,62.09428223844282,Large
GOLDEN RETRIEVER,RED,LACEY,15017,Female,False,133,62,64.81926121372031,Large
GOLDEN RETRIEVER,BLONDE,REAGAN,15017,Female,False,141,66,64.81926121372031,Large
ENG SPRINGER SPANIE,WHITE/BLACK,BELLA,15234,Female,True,22,44,44.726027397260275,Medium
AUS SHEPHERD,MERLE,SYLVIE,15234,Female,True,41,51,57.110864745011085,Large
GOLDEN RETRIEVER,GOLD,RYLEIGH WILSON,15108,Female,False,61,58,64.81926121372031,Large
GREAT PYRENEES,WHITE/BLACK/BROWN,AUTUMN BROWN OHLIGER,15106,Female,True,51,116,103.94090909090909,Giant
GER SHORTHAIR POINT,SPOTTED,KNUTE,15216,Male,False,108,70,62.642140468227424,Large
BEAGLE,TRI-COLOR,ENZO,15102,Male,True,27,21,20.472150814053126,Medium
CAV KING CHAR SPANI,RED,LADY ROOK,15120,Female,True,109,14,14.696850393700787,Small
ROTTWEILER,BLACK,MAEVE,15108,Female,False,94,118,115.73399014778325,Giant
SCHNAUZER MIN,WHITE,GEORGIA GIRL,15236,Female,False,136,13,12.735135135135135,Small
GER SHEPHERD,BLACK/BROWN,MILLIE,15102,Female,False,71,79,81.36481303930968,Large
CAV KING CHAR SPANI,CREAM,BEAUTY,15229,Female,False,64,13,14.696850393700787,Small
FRENCH BULLDOG,BLACK,LOUIE,15243,Male,False,176,23,20.437100213219615,Medium
SHIH TZU,WHITE/BLACK,TAZZIE LETO,15136,Female,False,25,11,12.004834810636583,Small
YORKSHIRE TERRIER,BLACK/SILVER,WILLIE,15044,Male,False,81,6,6.085308056872038,Small
GOLDEN RETRIEVER,GOLD,TOBY,15090,Male,False,134,71,64.81926121372031,Large
SHIH TZU,WHITE/GREY,BINGO,15239,Male,True,179,11,12.004834810636583,Small
DOBERMAN PINSCHER,BROWN,DOBSON,15102,Male,True,38,106,87.36585365853658,Large
BOXER,BROWN,BOWIE GASE,15136,Male,False,96,93,71.2519422863485,Large
GOLDENDOODLE,WHITE,CHARLEY,15057,Male,False,41,63,71.67073954983923,Large
